code,name,price,pct_change,turnover,amount,pe,market_cap,score
601788,光大证券,13.94,1.088,1.10636,599635035,19.096,6427438,50.47672
601877,正泰电器,26.7,1.06,1.14253,654853473,12.714,5737747,50.46506
002768,国恩股份,66.99,2.384,4.13764,486274387,21.132,2018074,50.427279999999996
603228,景旺电子,75.8,0.611,4.27768,3183145205,58.308,7465216,50.38836
600489,中金黄金,20.64,0.781,1.4808,1467617255,20.235,10004853,50.3046
002404,嘉欣丝绸,6.38,2.572,6.15978,178423609,19.938,357313,50.035560000000004
002340,格林美,7.13,1.567,2.64348,954633890,23.0,3637982,49.98796
600863,华能蒙电,5.49,-2.313,3.43683,1239677223,16.147,4301519,49.93466
300017,网宿科技,14.05,0.286,4.50798,1484520752,42.576,3506437,49.87396
301607,富特科技,40.1,-2.717,8.95267,549951016,20.67,938856,49.75434
300433,蓝思科技,42.68,1.354,2.79963,5779372650,54.025,22529666,49.66126
301026,浩通科技,21.59,3.301,4.87739,167523910,19.45,478399,49.65778
301358,湖南裕能,68.87,1.205,2.97605,1556997808,40.994,5808084,49.567099999999996
000768,中航西飞,20.78,3.796,1.51734,852849487,50.084,5778108,49.42268
002317,众生药业,22.76,3.408,4.4848,767136102,68.97,1934442,49.1936
601899,紫金矿业,27.33,-1.336,1.56852,8806739113,14.015,72672423,49.12904
600428,中远海特,7.83,2.219,1.18579,224598132,11.414,2148490,49.02858
600801,华新建材,18.77,2.289,1.05426,261392407,13.701,3902275,48.97552
601636,旗滨集团,6.63,0.455,3.79389,739595699,28.99,1961587,48.952780000000004
603619,中曼石油,24.27,1.761,4.33297,485107186,21.865,1122095,48.94894
600909,华安证券,7.27,-2.416,3.04744,1113442040,16.156,3652600,48.84688
600577,精达股份,10.85,0.556,3.57548,829960167,38.75,2333939,48.818960000000004
600309,万华化学,67.15,-1.105,1.06356,2228848680,16.83,21021117,48.81212
002532,天山铝业,13.41,0.149,1.67252,920136591,12.771,6207137,48.79204
601127,赛力斯,67.71,-1.699,1.94027,2036231009,18.399,11794981,48.78354
605116,奥锐特,19.82,5.313,1.37049,108765197,17.696,805055,48.67998
300487,蓝晓科技,52.45,2.602,2.92999,477107283,29.633,2670416,48.66598
