代码,名称,价格,PE,市值(亿),护城河评分,护城河理由
600377,宁沪高速,12.53,13.7,631.0,7,"低估(PE14), 大盘(631亿)"
601298,青岛港,8.85,10.9,574.0,7,"低估(PE11), 大盘(574亿)"
600028,中国石化,4.81,18.4,5817.0,7,"合理(PE18), 超大盘(5817亿)"
600406,国电南瑞,25.1,24.1,2016.0,7,"合理(PE24), 超大盘(2016亿)"
000157,中联重科,7.21,12.9,624.0,7,"低估(PE13), 大盘(624亿)"
600019,宝钢股份,5.96,12.4,1298.0,7,"低估(PE12), 大盘(1298亿)"
601825,沪农商行,8.34,6.5,804.0,7,"低估(PE7), 大盘(804亿)"
000729,燕京啤酒,12.36,20.7,348.0,7,"行业护城河(啤酒), 合理(PE21)"
600958,东方证券,9.23,14.2,784.0,7,"低估(PE14), 大盘(784亿)"
601838,成都银行,18.43,6.0,781.0,7,"低估(PE6), 大盘(781亿)"
600132,重庆啤酒,50.01,19.7,242.0,7,"行业护城河(啤酒), 合理(PE20)"
601800,中国交建,6.27,7.4,1020.0,7,"低估(PE7), 大盘(1020亿)"
601901,方正证券,6.85,14.3,564.0,7,"低估(PE14), 大盘(564亿)"
600027,华电国际,5.3,10.8,615.0,7,"低估(PE11), 大盘(615亿)"
600741,华域汽车,16.63,7.3,524.0,7,"低估(PE7), 大盘(524亿)"
601728,中国电信,5.97,16.6,5463.0,7,"合理(PE17), 超大盘(5463亿)"
601169,北京银行,5.01,6.4,1059.0,7,"低估(PE6), 大盘(1059亿)"
600039,四川路桥,8.75,10.4,761.0,7,"低估(PE10), 大盘(761亿)"
601336,新华保险,58.39,5.0,1822.0,7,"低估(PE5), 大盘(1822亿)"
603993,洛阳钼业,18.8,19.8,4022.0,7,"合理(PE20), 超大盘(4022亿)"
601818,光大银行,3.07,5.3,1814.0,7,"低估(PE5), 大盘(1814亿)"
600066,宇通客车,32.13,12.8,711.0,7,"低估(PE13), 大盘(711亿)"
000708,中信特钢,14.03,12.0,708.0,7,"低估(PE12), 大盘(708亿)"
002532,天山铝业,15.06,14.3,697.0,7,"低估(PE14), 大盘(697亿)"
003816,中国广核,4.5,23.3,2272.0,7,"合理(PE23), 超大盘(2272亿)"
