代码,名称,板块,最新价,涨跌幅,换手率,量比,current_price,period_low,period_high,price_ratio,price_percentile,distance_from_low,distance_from_high
003028,振邦智能,新质生产力-AI,28.75,2.5,11.0377,1.09,28.75,25.15,42.04,1.14,15.6,14.31,31.61
003028,振邦智能,新质生产力-AI,28.75,2.5,10.7207,1.09,28.75,25.15,42.04,1.14,15.6,14.31,31.61
300339,润和软件,新质生产力-AI,42.85,0.35,7.216,0.84,42.85,37.46,72.89,1.14,10.7,14.39,41.21
300339,润和软件,新质生产力-AI,42.85,0.35,4.54112,0.84,42.85,37.46,72.89,1.14,10.7,14.39,41.21
600845,宝信软件,新质生产力-AI,22.55,-5.69,1.4714,1.9,22.55,19.61,26.68,1.15,21.5,14.99,15.48
600845,宝信软件,新质生产力-AI,22.55,-5.69,0.83081,1.9,22.55,19.61,26.68,1.15,21.5,14.99,15.48
002153,石基信息,新质生产力-AI,8.82,0.68,1.43036,0.77,8.82,7.63,16.78,1.16,12.8,15.6,47.44
002153,石基信息,新质生产力-AI,8.82,0.68,1.37982,0.77,8.82,7.63,16.78,1.16,12.8,15.6,47.44
002279,久其软件,新质生产力-AI,7.09,-0.42,2.40626,0.57,7.09,6.02,11.31,1.18,28.4,17.77,37.31
002279,久其软件,新质生产力-AI,7.09,-0.42,2.99518,0.57,7.09,6.02,11.31,1.18,28.4,17.77,37.31
603383,顶点软件,新质生产力-AI,32.8,-1.35,3.14692,0.99,32.8,27.76,49.27,1.18,15.2,18.16,33.43
603383,顶点软件,新质生产力-AI,32.8,-1.35,4.47424,0.99,32.8,27.76,49.27,1.18,15.2,18.16,33.43
301368,丰立智能,新质生产力-AI,55.04,-2.03,8.54181,0.96,55.04,46.4,85.5,1.19,17.3,18.62,35.63
301368,丰立智能,新质生产力-AI,55.04,-2.03,6.06848,0.96,55.04,46.4,85.5,1.19,17.3,18.62,35.63
300911,亿田智能,新质生产力-AI,31.71,1.34,4.74856,2.22,31.71,26.26,63.05,1.21,9.1,20.75,49.71
300911,亿田智能,新质生产力-AI,31.71,1.34,3.10464,2.22,31.71,26.26,63.05,1.21,9.1,20.75,49.71
603636,南威软件,新质生产力-AI,11.01,-0.18,4.54257,2.36,11.01,8.71,15.02,1.26,19.8,26.41,26.7
603636,南威软件,新质生产力-AI,11.01,-0.18,5.8125,2.36,11.01,8.71,15.02,1.26,19.8,26.41,26.7
002097,山河智能,新质生产力-AI,9.12,-0.11,2.0862,0.16,9.12,7.09,20.98,1.29,17.7,28.63,56.53
002097,山河智能,新质生产力-AI,9.12,-0.11,1.64374,0.16,9.12,7.09,20.98,1.29,17.7,28.63,56.53
002031,巨轮智能,新质生产力-AI,7.4,1.93,16.9443,4.59,7.4,5.41,9.96,1.37,27.6,36.78,25.7
002031,巨轮智能,新质生产力-AI,7.4,1.93,14.9615,4.59,7.4,5.41,9.96,1.37,27.6,36.78,25.7
600271,航天信息,"新质生产力-AI, 高端制造-军工, 商业航天",7.91,-3.18,0.82803,1.2,7.91,7.9,13.99,1.0,0.4,0.13,43.46
600271,航天信息,"新质生产力-AI, 高端制造-军工, 商业航天",7.91,-3.18,0.97485,1.2,7.91,7.9,13.99,1.0,0.4,0.13,43.46
300968,格林精密,新质生产力-机器人,12.12,2.19,1.43171,0.71,12.12,11.0,17.07,1.1,11.9,10.18,29.0
300968,格林精密,新质生产力-机器人,12.12,2.19,1.7328,0.71,12.12,11.0,17.07,1.1,11.9,10.18,29.0
001306,夏厦精密,新质生产力-机器人,72.85,0.4,7.93279,0.74,72.85,63.66,112.98,1.14,22.6,14.44,35.52
001306,夏厦精密,新质生产力-机器人,72.85,0.4,6.65881,0.74,72.85,63.66,112.98,1.14,22.6,14.44,35.52
300024,机器人,新质生产力-机器人,16.27,-0.79,6.14683,1.8,16.27,14.13,22.0,1.15,20.2,15.15,26.05
300024,机器人,新质生产力-机器人,16.27,-0.79,3.93456,1.8,16.27,14.13,22.0,1.15,20.2,15.15,26.05
300549,优德精密,新质生产力-机器人,17.95,3.16,3.12298,0.56,17.95,15.53,24.0,1.16,24.7,15.58,25.21
300549,优德精密,新质生产力-机器人,17.95,3.16,3.17869,0.56,17.95,15.53,24.0,1.16,24.7,15.58,25.21
300685,艾德生物,生物医药,18.96,-0.84,1.33502,0.72,18.96,18.92,26.15,1.0,0.4,0.21,27.5
300685,艾德生物,生物医药,18.96,-0.84,6.73539,0.72,18.96,18.92,26.15,1.0,0.4,0.21,27.5
603392,万泰生物,生物医药,36.65,-3.37,0.36744,0.91,36.65,36.54,80.0,1.0,0.4,0.3,54.19
603392,万泰生物,生物医药,36.65,-3.37,0.35632,0.91,36.65,36.54,80.0,1.0,0.4,0.3,54.19
300009,安科生物,生物医药,8.19,-0.85,0.88059,0.24,8.19,8.16,13.06,1.0,0.4,0.37,37.29
300119,瑞普生物,生物医药,16.49,-1.73,0.75881,0.21,16.49,16.43,26.6,1.0,0.4,0.37,38.01
300119,瑞普生物,生物医药,16.49,-1.73,0.97458,0.21,16.49,16.43,26.6,1.0,0.4,0.37,38.01
300009,安科生物,生物医药,8.19,-0.85,0.93761,0.24,8.19,8.16,13.06,1.0,0.4,0.37,37.29
300138,晨光生物,生物医药,10.49,-0.19,1.22722,0.38,10.49,10.45,15.8,1.0,0.4,0.38,33.61
603983,丸美生物,生物医药,23.79,-2.02,0.38752,0.47,23.79,23.7,54.27,1.0,0.4,0.38,56.16
603983,丸美生物,生物医药,23.79,-2.02,0.50307,0.47,23.79,23.7,54.27,1.0,0.4,0.38,56.16
300138,晨光生物,生物医药,10.49,-0.19,1.1564,0.38,10.49,10.45,15.8,1.0,0.4,0.38,33.61
002019,亿帆医药,生物医药,10.3,-0.77,0.98773,0.36,10.3,10.26,16.66,1.0,0.4,0.39,38.18
002019,亿帆医药,生物医药,10.3,-0.77,1.10909,0.36,10.3,10.26,16.66,1.0,0.4,0.39,38.18
300122,智飞生物,生物医药,14.06,-2.97,1.52489,0.44,14.06,14.0,26.0,1.0,0.4,0.43,45.92
300122,智飞生物,生物医药,14.06,-2.97,2.15962,0.44,14.06,14.0,26.0,1.0,0.4,0.43,45.92
603658,安图生物,生物医药,32.5,-1.9,0.40431,1.36,32.5,32.32,42.75,1.01,0.4,0.56,23.98
603658,安图生物,生物医药,32.5,-1.9,0.35361,1.36,32.5,32.32,42.75,1.01,0.4,0.56,23.98
301301,川宁生物,生物医药,9.27,0.43,2.05524,0.28,9.27,9.21,13.47,1.01,0.8,0.65,31.18
002007,华兰生物,生物医药,13.86,-0.5,0.55907,0.56,13.86,13.77,18.39,1.01,0.4,0.65,24.63
002007,华兰生物,生物医药,13.86,-0.5,0.69112,0.56,13.86,13.77,18.39,1.01,0.4,0.65,24.63
301301,川宁生物,生物医药,9.27,0.43,1.46082,0.28,9.27,9.21,13.47,1.01,0.8,0.65,31.18
600833,第一医药,生物医药,11.16,-2.62,1.96377,0.37,11.16,11.05,16.05,1.01,0.8,1.0,30.47
600833,第一医药,生物医药,11.16,-2.62,1.59039,0.37,11.16,11.05,16.05,1.01,0.8,1.0,30.47
300463,迈克生物,生物医药,9.85,-0.3,1.35458,0.87,9.85,9.74,14.2,1.01,0.4,1.13,30.63
300463,迈克生物,生物医药,9.85,-0.3,1.6464,0.87,9.85,9.74,14.2,1.01,0.4,1.13,30.63
300294,博雅生物,生物医药,15.67,-2.18,0.9063,1.2,15.67,15.48,27.99,1.01,0.4,1.23,44.02
300294,博雅生物,生物医药,15.67,-2.18,1.43012,1.2,15.67,15.48,27.99,1.01,0.4,1.23,44.02
600196,复星医药,生物医药,23.71,-1.29,0.54632,0.52,23.71,23.42,33.1,1.01,1.7,1.24,28.37
