代码,名称,价格,涨幅,换手率,量比,成交额(亿),振幅,PE,市值(亿),技术信号,热门板块,距MA5,距MA10
603158,腾龙股份,15.74,3.83,8.05,0.0,6.09,0.0,143.09,77.25,"均线多头, 站上均线, 突破10日高点, 连续上涨",其他,4.99,5.4
600222,太龙药业,8.7,3.82,10.22,0.0,5.05,0.0,80.18,49.93,"均线多头, 站上均线, 突破10日高点, 连续上涨, 放量",其他,6.02,8.63
603328,依顿电子,13.07,3.81,6.34,0.0,8.14,0.0,28.05,130.5,"均线多头, 站上均线, 突破10日高点, 连续上涨",其他,3.42,4.04
300476,胜宏科技,366.72,3.76,5.93,0.0,185.84,0.0,73.2,3604.07,"站上均线, 连续上涨",其他,3.0,0.9
301265,华新科技,27.06,3.72,5.57,0.0,2.5,0.0,135.23,81.98,连续上涨,其他,1.16,-0.61
300661,圣邦股份,113.25,3.71,3.35,0.0,22.49,0.0,127.81,702.91,"站上均线, 连续上涨",其他,2.5,0.16
601001,晋控煤业,22.69,3.7,4.11,0.0,15.21,0.0,20.82,379.76,"均线多头, 站上均线, 突破10日高点, 连续上涨",其他,9.32,19.62
601799,星宇股份,127.95,3.7,1.92,0.0,7.02,0.0,22.42,365.53,放量,其他,1.25,-4.17
600279,重庆港,5.64,3.68,3.67,0.0,2.46,0.0,141.0,66.94,"均线多头, 站上均线, 突破10日高点, 连续上涨, 放量",其他,7.92,12.62
600783,鲁信创投,24.14,3.65,5.88,0.0,10.5,0.0,127.05,179.69,"站上均线, 突破10日高点, 连续上涨",其他,8.91,6.89
600893,航发动力,42.75,3.64,1.56,0.0,17.21,0.0,178.12,1139.54,连续上涨,其他,2.69,-1.12
002357,富临运业,10.58,3.62,3.39,0.0,1.1,0.0,19.36,33.17,放量,其他,2.01,-0.81
603929,亚翔集成,156.0,3.56,3.47,0.0,11.43,0.0,37.32,332.84,连续上涨,其他,3.44,-2.29
603009,北特科技,50.45,3.51,2.95,0.0,5.04,0.0,144.14,174.75,连续上涨,其他,3.72,-3.6
603063,禾望电气,56.0,3.51,7.13,0.0,18.3,0.0,47.86,257.34,连续上涨,其他,2.88,-1.96
002409,雅克科技,117.78,3.5,8.6,0.0,32.0,0.0,56.04,560.55,"站上均线, 连续上涨",其他,6.32,3.2
300346,南大光电,52.59,3.48,6.39,0.0,22.2,0.0,114.33,363.48,连续上涨,其他,3.68,-2.54
300219,鸿利智汇,8.63,3.48,7.5,0.0,4.54,0.0,61.64,61.1,"站上均线, 连续上涨",其他,4.83,1.91
300990,同飞股份,81.95,3.47,7.53,0.0,5.02,0.0,55.0,140.31,连续上涨,其他,2.84,-4.81
603605,珀莱雅,66.48,3.39,2.54,0.0,6.64,0.0,17.45,263.24,"均线多头, 站上均线",其他,2.4,8.49
600395,盘江股份,6.15,3.36,3.68,0.0,4.81,0.0,40.2,132.02,"均线多头, 站上均线, 突破10日高点, 连续上涨",其他,3.74,8.77
