代码,名称,最新价,涨跌幅,市盈率,换手率,红三兵位置,距红三兵天数,三日涨幅,理想形态,涨幅适中,成交量配合,第一日涨幅,第二日涨幅,第三日涨幅
002811,郑中设计,12.12,4.303,22.868,2.57638,6,1,4.4,False,True,False,1.98,1.67,1.48
301029,怡合达,29.85,-1.192,36.852,4.21827,5,2,5.18,False,True,False,1.58,4.4,1.45
002272,川润股份,20.81,1.019,-404.864,15.1361,6,1,14.13,False,False,True,1.5,5.39,2.44
300706,阿石创,67.88,19.993,-188.556,30.9733,6,1,20.36,False,False,True,3.85,7.46,6.21
300721,怡达股份,32.56,-9.126,-49.08,30.5975,6,1,25.5,False,False,True,0.81,2.16,23.3
002901,大博医疗,41.3,-0.817,28.095,0.62546,6,1,3.94,False,False,True,0.22,2.7,1.56
003026,中晶科技,35.45,-1.909,107.424,28.2003,6,1,24.58,False,False,True,2.93,7.92,4.94
002203,海亮股份,21.31,10.015,45.34,1.21306,6,1,8.27,False,False,True,0.06,3.51,3.09
002232,启明信息,14.73,-4.598,184.818,1.35299,6,1,3.62,False,False,True,1.41,0.33,1.25
002265,建设工业,19.88,-3.915,86.435,1.15134,6,1,6.27,False,False,True,0.46,3.86,2.12
002297,博云新材,21.39,2.688,198.239,25.429,6,1,7.93,False,False,True,2.64,0.1,3.07
002292,奥飞娱乐,6.74,-6.906,134.8,4.88866,6,1,6.63,False,False,True,4.57,0.42,1.97
605318,法狮龙,126.99,8.948,-2539.8,7.90327,6,1,22.08,False,False,True,0.89,8.91,6.01
605376,博迁新材,181.0,-6.701,215.476,6.4116,6,1,16.31,False,False,True,3.72,6.91,0.67
605198,安德利,58.91,-4.04,61.365,1.33649,6,1,17.45,False,False,True,9.32,5.31,0.8
603595,ST东尼,24.28,-1.78,-89.926,1.00765,6,1,10.06,False,False,True,5.61,1.11,1.1
603527,众源新材,13.4,-2.047,67.0,5.88141,6,1,7.97,False,False,True,1.03,1.56,7.04
603228,景旺电子,75.8,0.611,58.308,4.27768,6,1,12.38,False,False,True,2.86,2.86,0.45
603927,中科软,14.38,-4.515,53.358,1.19506,6,1,3.15,False,False,True,0.34,0.81,1.69
603991,领先股份,120.21,10.002,-207.259,7.96272,6,1,8.2,False,False,True,0.3,2.14,4.18
600897,厦门空港,15.76,1.612,12.677,0.98114,6,1,4.44,False,False,True,0.07,1.0,2.44
603306,华懋科技,102.7,3.424,163.535,4.16529,6,1,10.51,False,False,True,1.75,5.76,3.44
601928,凤凰传媒,9.11,-2.148,12.831,0.36957,6,1,3.91,False,False,True,0.11,0.44,3.44
600869,远东股份,29.5,-6.498,1104.87,8.74385,6,1,15.78,False,False,True,0.73,5.52,9.55
603778,国晟科技,19.8,-2.941,-22.759,13.8464,6,1,7.94,False,False,True,0.26,2.2,2.05
603220,中贝通信,22.87,-6.767,122.038,12.5762,6,1,12.78,False,False,True,1.15,0.22,2.21
600797,浙大网新,7.22,-5.744,-144.4,2.69344,6,1,4.93,False,False,True,0.55,1.08,3.65
600861,北京人力,14.53,-0.684,7.032,0.61036,6,1,3.54,False,False,True,0.35,0.21,2.16
301511,德福科技,133.57,-2.575,748.291,9.07676,6,1,22.87,False,False,True,10.31,6.88,3.41
301555,惠柏新材,41.98,1.474,53.139,16.5102,6,1,11.78,False,False,True,0.03,4.43,5.97
603020,爱普股份,11.85,-1.003,51.321,3.86519,6,1,14.0,False,False,True,0.76,8.89,2.75
603186,华正新材,170.38,4.323,87.374,12.5898,6,1,41.72,False,False,True,18.04,4.64,7.1
603181,皇马科技,14.42,1.335,18.974,1.5062,6,1,7.15,False,False,True,0.53,4.54,2.37
600012,皖通高速,16.78,-2.214,15.048,0.81324,6,1,6.65,False,False,True,0.5,2.9,2.69
301565,中仑新材,25.03,-8.949,125.15,13.6685,6,1,11.93,False,False,True,0.98,3.6,9.09
600038,中直股份,27.25,-1.625,34.272,1.11161,6,1,3.75,False,False,True,0.49,0.37,2.59
600874,创业环保,5.82,1.042,10.582,1.07606,6,1,3.04,False,False,True,0.54,0.18,1.95
300894,火星人,11.38,20.042,-15.589,8.36753,6,1,8.34,False,False,True,0.23,3.83,4.18
301322,绿通科技,57.76,2.049,186.323,8.54243,6,1,24.45,False,False,True,11.72,7.67,1.67
301116,益客食品,9.73,-1.518,-15.694,1.24931,6,1,3.46,False,False,True,0.73,1.35,1.23
301025,读客文化,8.93,-2.404,446.5,2.45967,6,1,3.86,False,False,True,0.91,0.67,2.23
300786,国林科技,20.36,6.485,-185.091,14.8351,6,1,10.14,False,False,True,1.79,3.15,0.58
300854,中兰环保,31.43,-6.846,-36.185,10.1238,6,1,17.89,False,False,True,10.69,0.31,4.46
300821,东岳硅材,17.87,-0.667,-893.5,8.79182,6,1,15.32,False,False,True,3.46,7.29,5.51
600728,佳都科技,4.55,-4.008,55.42,1.86451,6,1,1.72,False,False,True,0.21,0.85,1.28
600641,先导基电,28.91,5.013,-207.986,11.6843,6,1,13.29,False,False,True,1.11,8.55,2.34
600716,凤凰股份,3.73,0.539,-9.016,1.72131,6,1,4.21,False,False,True,0.84,1.94,1.37
600640,国脉文化,10.51,-5.571,389.259,1.57574,6,1,1.18,False,False,True,0.45,0.36,0.72
600610,中毅达,8.35,3.727,176.533,5.84841,6,1,10.12,False,False,True,0.68,2.96,6.2
301629,矽电股份,388.8,4.82,288.0,10.7083,6,1,10.72,False,False,True,0.51,4.46,4.14
300936,中英科技,114.99,5.206,4063.25,11.2538,6,1,9.29,False,False,True,0.08,3.95,6.29
301176,逸豪新材,47.17,-0.903,-133.173,7.25897,6,1,20.63,False,False,True,0.38,8.0,9.43
002575,群兴玩具,5.92,-4.207,-148.0,8.94083,6,1,11.35,False,False,True,1.08,7.87,2.66
002585,双星新材,12.42,-7.452,-26.883,31.9404,6,1,22.78,False,False,True,1.46,8.25,3.95
002718,友邦吊顶,97.58,3.82,975.8,2.08556,6,1,8.22,False,False,True,4.76,0.7,2.62
002568,百润股份,19.79,0.712,31.919,2.56135,6,1,7.97,False,False,True,3.3,0.64,4.02
002870,香山股份,39.95,-2.513,55.486,2.50492,6,1,7.67,False,False,True,0.45,1.73,5.08
001211,双枪科技,36.11,1.776,1203.67,9.3439,6,1,11.61,False,False,True,4.15,0.36,5.91
001395,亚联机械,36.72,-0.488,16.767,1.45394,6,1,4.95,False,False,True,2.08,0.5,2.27
600449,宁夏建材,12.48,-5.526,32.842,1.59883,6,1,4.68,False,False,True,2.61,0.46,1.3
301396,宏景科技,166.0,-5.143,965.116,16.8276,6,1,10.06,False,False,True,0.02,1.1,6.05
300716,*ST泉为,19.32,4.207,-13.963,3.31065,5,2,11.68,False,False,True,2.13,6.34,6.74
300496,中科创达,59.39,-4.808,60.652,5.02663,5,2,6.71,False,False,True,2.12,5.3,1.55
300746,汉嘉数智,10.54,-2.317,33.134,1.97346,5,2,8.8,False,False,True,2.18,3.14,5.89
300225,金力泰,8.38,-5.843,209.5,15.0094,5,2,18.35,False,False,True,2.13,6.39,8.94
001226,拓山重工,50.11,-4.534,185.593,5.41442,5,2,3.47,False,False,True,0.1,2.45,1.19
002407,多氟多,38.19,9.994,212.167,20.1314,5,2,5.31,False,False,True,3.01,5.69,0.92
001696,宗申动力,20.96,10.026,36.063,16.471,5,2,22.73,False,False,True,1.4,11.54,8.27
002362,汉王科技,18.81,-4.808,-23.466,11.1112,5,2,22.69,False,False,True,1.37,12.52,4.24
301195,北路智控,35.23,-0.452,30.635,6.47259,5,2,26.19,False,False,True,1.14,21.8,3.98
300925,法本信息,18.68,-0.797,74.72,5.18258,5,2,14.58,False,False,True,5.62,5.92,4.48
300556,丝路视觉,20.91,-7.764,-41.82,18.1017,5,2,13.41,False,False,True,2.44,8.65,4.07
002553,南方精工,18.18,-8.089,18.33,6.425,5,2,4.71,False,False,True,3.2,2.16,0.16
002779,中坚科技,83.71,4.13,89.644,3.83239,5,2,17.38,False,False,True,7.83,3.42,5.24
300163,先锋新材,6.33,-2.164,42.944,6.97347,5,2,11.04,False,False,True,2.56,1.74,5.47
002948,青岛银行,5.89,-0.675,6.929,1.35516,5,2,4.05,False,False,True,0.18,0.92,3.48
603679,华体科技,18.59,1.863,-24.352,5.96311,5,2,9.44,False,False,True,1.1,5.16,5.06
603859,能科科技,51.89,-9.991,55.796,5.11311,5,2,19.8,False,False,True,2.58,9.72,3.82
601939,建设银行,10.6,1.049,8.154,1.19489,5,2,2.88,False,False,True,1.49,0.58,1.47
603129,春风动力,220.49,-3.294,20.063,1.09058,5,2,5.25,False,False,True,0.3,2.81,2.13
601963,重庆银行,11.78,-3.679,7.699,1.02009,5,2,2.61,False,False,True,0.92,0.08,1.75
601288,农业银行,6.68,-0.447,8.564,0.10083,5,2,4.6,False,False,True,0.79,2.66,1.54
603039,泛微网络,45.56,-0.306,39.965,7.58258,5,2,21.69,False,False,True,7.37,7.36,9.35
600340,*ST华幸,1.29,-5.147,-0.22,4.59742,5,2,9.76,False,False,True,0.81,5.74,4.65
301279,金道科技,23.96,-2.957,47.92,3.07913,5,2,12.9,False,False,True,5.31,5.07,2.15
301488,豪恩汽电,146.9,-11.506,181.358,23.7691,5,2,18.3,False,False,True,4.9,13.94,3.37
301069,凯盛新材,21.3,1.429,69.79,3.97637,5,2,16.86,False,False,True,2.77,7.33,7.99
301231,荣信文化,31.88,-12.104,-144.909,21.8141,4,3,9.2,False,False,True,0.62,1.38,8.7
301313,凡拓数创,55.61,-19.997,-43.109,35.5244,4,3,34.8,False,False,True,1.35,1.63,20.29
300845,捷安高科,14.53,-1.156,72.65,6.39064,4,3,5.66,False,False,True,0.14,3.35,5.89
600552,凯盛科技,20.59,-0.435,151.175,11.8618,4,3,20.49,False,False,True,7.87,8.88,4.45
301413,安培龙,85.08,-0.989,92.478,4.75861,4,3,11.37,False,False,True,7.6,3.14,6.03
002881,美格智能,41.03,-6.024,75.423,6.85561,4,3,6.76,False,False,True,1.79,2.94,6.07
002896,中大力德,81.56,-9.998,254.875,10.1906,4,3,22.07,False,False,True,1.14,11.24,8.18
002565,顺灏股份,13.67,-6.37,227.833,7.86626,4,3,11.48,False,False,True,0.76,2.95,8.92
002847,盐津铺子,53.55,0.019,19.263,1.23081,4,3,1.8,False,False,True,0.91,0.53,2.11
002361,神剑股份,17.47,-8.534,1247.86,36.6259,4,3,22.05,False,False,True,0.86,8.8,5.6
300580,贝斯特,23.62,-2.638,42.179,3.12319,4,3,12.95,False,False,True,0.09,3.81,11.57
300552,万集科技,26.75,-4.872,-31.485,4.92998,4,3,7.71,False,False,True,2.15,0.82,6.81
300234,开尔新材,9.84,8.609,-492.0,11.4905,4,3,10.12,False,False,True,0.12,1.73,8.84
002138,顺络电子,55.63,-4.58,42.792,8.54924,4,3,18.43,False,False,True,7.55,8.61,3.07
002520,日发精机,6.45,-1.976,-23.036,7.36031,4,3,13.88,False,False,True,11.39,2.25,3.73
002196,方正电机,12.33,-4.121,291.489,5.41961,4,3,6.95,False,False,True,0.15,5.23,6.22
301128,强瑞技术,167.52,0.867,122.331,9.36332,4,3,10.99,False,False,True,0.89,6.41,10.91
600186,莲花控股,12.63,8.692,70.167,20.3477,4,3,11.48,False,False,True,0.64,6.52,8.37
301225,恒勃股份,87.8,-2.833,65.522,5.09738,4,3,10.08,False,False,True,7.07,1.14,5.48
300099,尤洛卡,7.75,-0.386,31.187,2.58931,4,3,4.73,False,False,True,0.7,2.22,4.58
300334,津膜科技,12.86,13.005,-116.909,17.173,4,3,36.73,False,False,True,3.3,20.29,8.63
605488,福莱新材,34.09,-4.026,121.75,2.84852,4,3,9.88,False,False,True,3.01,2.88,10.54
603165,荣晟环保,14.8,-1.07,17.209,1.55781,4,3,2.19,False,False,True,0.91,0.6,1.94
603867,新化股份,39.8,1.041,28.841,6.31866,4,3,3.48,False,False,True,1.87,0.86,3.68
601689,拓普集团,61.38,-2.895,38.124,2.11039,4,3,9.84,False,False,True,9.03,1.46,4.83
301525,儒竞科技,48.92,-2.569,36.782,2.06296,4,3,9.71,False,False,True,1.42,4.14,7.04
600879,航天电子,20.12,-3.686,291.594,4.1268,4,3,11.81,False,False,True,0.31,7.49,5.07
601698,中国卫通,31.95,4.207,306.034,1.35319,4,3,7.23,False,False,True,0.23,4.88,4.38
600378,昊华科技,63.89,10.003,57.055,7.44364,4,3,23.51,False,False,True,7.13,4.34,10.37
600293,三峡新材,3.63,-4.974,-121.0,11.3686,4,3,28.26,False,False,True,11.8,6.74,6.44
603345,安井食品,88.5,-1.568,20.114,0.96627,6,1,4.21,False,False,False,2.11,0.87,0.84
