代码,名称,最新价,涨跌幅,市盈率,换手率,MA5,MA10,MA60,回调幅度,60日线趋势,距买点天数
600170,上海建工,2.37,-2.066,29.625,1.34826,2.43,2.49,2.68,2.93,平稳,5
600398,海澜之家,5.84,-0.171,12.978,0.40675,5.79,5.8,6.21,7.09,平稳,5
600688,上海石化,2.89,-3.344,-21.25,2.5274,3.16,3.05,2.96,5.11,平稳,5
600679,上海凤凰,9.31,-4.708,44.954,1.88068,10.0,10.11,11.12,3.32,平稳,5
600681,百川能源,3.53,0.857,19.955,0.97941,3.57,3.69,4.1,4.1,平稳,5
600660,福耀玻璃,52.41,-1.206,14.681,0.45313,53.12,53.24,56.84,3.89,平稳,5
600597,光明乳业,6.61,-2.937,-60.091,0.60035,6.74,6.86,7.32,0.0,平稳,5
600630,龙头股份,8.95,0.562,81.364,8.25856,8.74,8.35,8.07,2.4,平稳,5
600639,浦东金桥,9.64,0.942,9.994,0.31796,9.59,9.73,10.54,3.07,平稳,5
600600,青岛啤酒,60.69,-0.557,18.046,1.12932,60.23,60.4,61.97,1.03,平稳,5
600507,方大特钢,4.23,-1.856,10.393,1.37853,4.36,4.52,5.46,6.48,平稳,5
600500,中化国际,7.21,10.076,-11.629,1.08371,6.16,5.98,4.97,13.32,平稳,5
600496,精工钢构,3.76,-2.083,12.228,1.28509,3.93,4.02,4.04,-0.24,平稳,5
600439,瑞贝卡,2.27,-3.404,-32.429,3.88409,2.46,2.5,2.55,5.9,平稳,5
600530,交大昂立,5.92,-2.149,1315.56,1.19557,6.18,6.6,5.94,7.82,平稳,5
600540,新赛股份,4.45,1.367,-18.171,4.22064,4.51,4.67,4.95,5.58,平稳,5
600567,山鹰国际,1.31,-4.38,-6.55,2.79617,1.32,1.34,1.47,5.41,平稳,5
600516,方大炭素,5.74,1.235,287.0,3.58129,5.83,5.5,5.61,6.39,平稳,5
600675,中华企业,2.36,-0.84,118.0,0.38769,2.38,2.4,2.57,4.17,平稳,5
600782,新钢股份,2.59,0.0,259.0,0.84667,2.62,2.72,3.26,5.08,平稳,5
600801,华新建材,18.77,2.289,13.701,1.05426,18.72,18.8,20.97,0.89,平稳,5
600741,华域汽车,16.65,0.301,7.283,0.54179,16.69,16.8,18.53,1.12,平稳,5
600737,中粮糖业,12.72,-1.928,28.604,0.81723,13.45,13.77,14.58,13.12,平稳,5
600777,*ST新潮,5.34,-1.294,29.667,0.17651,5.51,5.5,5.62,5.67,平稳,5
600787,中储股份,4.5,-1.532,17.928,0.76072,4.58,4.68,5.22,0.55,平稳,5
600798,宁波海运,3.31,-0.898,145.815,1.59545,3.47,3.54,3.71,3.12,平稳,5
600859,王府井,10.18,-2.115,-290.857,0.98238,10.41,10.66,11.86,2.41,平稳,5
600821,金开新能,6.4,-2.736,128.0,4.77572,7.11,7.67,8.8,7.62,平稳,5
600826,兰生股份,9.27,-1.173,20.6,0.92893,9.17,8.98,9.54,8.23,平稳,5
603359,*ST东珠,2.57,-1.533,-1.062,2.27579,2.72,2.81,4.63,2.56,平稳,5
603429,*ST集友,9.24,-1.702,-231.0,0.34851,9.32,9.34,9.54,5.24,平稳,5
603789,ST星农,5.4,-0.185,-14.754,0.86142,5.48,5.61,5.7,3.92,平稳,5
605336,*ST帅电,16.05,-1.109,-51.774,0.61557,16.26,16.42,16.13,3.04,平稳,5
